City;Region;Province;Areakm2;Population
Czarna Białostocka;białostocki;podlaskie;14.28;9594
Łapy;białostocki;podlaskie;12.14;15879
Michałowo;białostocki;podlaskie;2.15;3153
Supraśl;białostocki;podlaskie;5.69;4633
Suraż;białostocki;podlaskie;33.86;1009
Tykocin;białostocki;podlaskie;28.97;2012
Wasilków;białostocki;podlaskie;28.26;10677
Zabłudów;białostocki;podlaskie;14.3;2499
Białystok;Białystok[a];podlaskie;102.13;295459
Bielsk Podlaski;bielski;podlaskie;27.01;26249
Brańsk;bielski;podlaskie;32.43;3854
Grajewo;grajewski;podlaskie;18.94;22243
Rajgród;grajewski;podlaskie;35.28;1625
Szczuczyn;grajewski;podlaskie;13.23;3449
Hajnówka;hajnowski;podlaskie;21.29;21422
Kleszczele;hajnowski;podlaskie;46.71;1321
Kolno;kolneński;podlaskie;25.07;10567
Stawiski;kolneński;podlaskie;13.24;2342
Łomża;Łomża[a];podlaskie;32.67;62779
Jedwabne;łomżyński;podlaskie;4.54;1673
Nowogród;łomżyński;podlaskie;20.55;2187
Goniądz;moniecki;podlaskie;4.28;1892
Knyszyn;moniecki;podlaskie;23.68;2853
Mońki;moniecki;podlaskie;7.66;10275
Sejny;sejneński;podlaskie;4.49;5640
Drohiczyn;siemiatycki;podlaskie;15.69;2118
Siemiatycze;siemiatycki;podlaskie;36.25;14725
Dąbrowa Białostocka;sokólski;podlaskie;22.64;5796
Krynki;sokólski;podlaskie;3.83;2515
Sokółka;sokólski;podlaskie;18.59;18716
Suchowola;sokólski;podlaskie;25.95;2236
Suwałki;Suwałki[a];podlaskie;65.51;69316
Ciechanowiec;wysokomazowiecki;podlaskie;19.53;4812
Czyżew;wysokomazowiecki;podlaskie;5.23;2642
Szepietowo;wysokomazowiecki;podlaskie;1.96;2278
Wysokie Mazowieckie;wysokomazowiecki;podlaskie;15.24;9517
Zambrów;zambrowski;podlaskie;19.02;22262
Bytów;bytowski;pomorskie;8.72;17011
Miastko;bytowski;pomorskie;5.68;10866
Brusy;chojnicki;pomorskie;5.2;5093
Chojnice;chojnicki;pomorskie;21.04;40056
Czersk;chojnicki;pomorskie;9.73;10030
Czarne;człuchowski;pomorskie;46.43;6052
Człuchów;człuchowski;pomorskie;12.78;14224
Debrzno;człuchowski;pomorskie;7.51;5185
Gdańsk;Gdańsk[a];pomorskie;261.96;461489
Pruszcz Gdański;gdański;pomorskie;16.47;29226
Gdynia;Gdynia[a];pomorskie;135.14;247820
Kartuzy;kartuski;pomorskie;6.8;14840
Żukowo;kartuski;pomorskie;4.73;6532
Kościerzyna;kościerski;pomorskie;15.86;23738
Kwidzyn;kwidzyński;pomorskie;21.54;38757
Prabuty;kwidzyński;pomorskie;7.29;8781
Lębork;lęborski;pomorskie;17.86;35443
Łeba;lęborski;pomorskie;14.81;3836
Malbork;malborski;pomorskie;17.16;38950
Nowy Staw;malborski;pomorskie;4.67;4330
Krynica Morska;nowodworski;pomorskie;116.01;1335
Nowy Dwór Gdański;nowodworski;pomorskie;5.07;10015
Hel;pucki;pomorskie;21.72;3594
Jastarnia;pucki;pomorskie;7.8;3866
Puck;pucki;pomorskie;4.79;11321
Władysławowo;pucki;pomorskie;12.59;10053
Słupsk;Słupsk[a];pomorskie;43.15;93206
Kępice;słupski;pomorskie;6.11;3737
Ustka;słupski;pomorskie;10.19;16056
Sopot;Sopot[a];pomorskie;17.28;37654
Czarna Woda;starogardzki;pomorskie;9.94;2865
Skarszewy;starogardzki;pomorskie;10.79;7057
Skórcz;starogardzki;pomorskie;3.63;3551
Starogard Gdański;starogardzki;pomorskie;25.28;48327
Dzierzgoń;sztumski;pomorskie;3.9;5524
Sztum;sztumski;pomorskie;4.59;10308
Gniew;tczewski;pomorskie;6.04;6898
Pelplin;tczewski;pomorskie;4.42;8225
Tczew;tczewski;pomorskie;22.38;60573
Reda;wejherowski;pomorskie;33.46;23565
Rumia;wejherowski;pomorskie;30.1;47602
Wejherowo;wejherowski;pomorskie;26.99;50292
Będzin;będziński;śląskie;37.37;58205
Czeladź;będziński;śląskie;16.38;32666
Siewierz;będziński;śląskie;38.66;5495
Sławków;będziński;śląskie;36.67;7135
Wojkowice;będziński;śląskie;12.79;9033
Czechowice-Dziedzice;bielski;śląskie;32.91;35632
Szczyrk;bielski;śląskie;39.07;5799
Wilamowice;bielski;śląskie;10.36;3033
Bielsko-Biała;Bielsko-Biała[a];śląskie;124.51;173013
Bieruń;bieruńsko-lędziński;śląskie;40.49;19636
Imielin;bieruńsko-lędziński;śląskie;27.99;8723
Lędziny;bieruńsko-lędziński;śląskie;31.65;16749
Bytom;Bytom[a];śląskie;69.44;172306
Chorzów;Chorzów[a];śląskie;33.24;110337
Cieszyn;cieszyński;śląskie;28.61;35685
Skoczów;cieszyński;śląskie;9.85;14625
Strumień;cieszyński;śląskie;6.29;3642
Ustroń;cieszyński;śląskie;59.03;16073
Wisła;cieszyński;śląskie;110.17;11198
Częstochowa;Częstochowa[a];śląskie;159.71;230123
Blachownia;częstochowski;śląskie;36.66;9830
Koniecpol;częstochowski;śląskie;36.92;6142
Dąbrowa Górnicza;Dąbrowa Górnicza[a];śląskie;188.73;123376
Gliwice;Gliwice[a];śląskie;133.88;184415
Knurów;gliwicki;śląskie;33.95;38859
Pyskowice;gliwicki;śląskie;30.89;18563
Sośnicowice;gliwicki;śląskie;11.67;1854
Toszek;gliwicki;śląskie;9.71;3615
Jastrzębie-Zdrój;Jastrzębie-Zdrój[a];śląskie;85.33;90794
Jaworzno;Jaworzno[a];śląskie;152.59;93331
Katowice;Katowice[a];śląskie;164.64;301834
Kłobuck;kłobucki;śląskie;47.46;13133
Krzepice;kłobucki;śląskie;27.66;4462
Lubliniec;lubliniecki;śląskie;89.36;24182
Woźniki;lubliniecki;śląskie;71.01;4422
Łaziska Górne;mikołowski;śląskie;20.07;22419
Mikołów;mikołowski;śląskie;79.21;39795
Orzesze;mikołowski;śląskie;83.79;20194
Mysłowice;Mysłowice[a];śląskie;65.62;75037
Koziegłowy;myszkowski;śląskie;26.71;2449
Myszków;myszkowski;śląskie;73.59;32499
Żarki;myszkowski;śląskie;25.44;4526
Piekary Śląskie;Piekary Śląskie[a];śląskie;39.98;56755
Pszczyna;pszczyński;śląskie;22.49;26028
Krzanowice;raciborski;śląskie;3.08;2209
Kuźnia Raciborska;raciborski;śląskie;31.49;5451
Racibórz;raciborski;śląskie;75.01;55710
Ruda Śląska;Ruda Śląska[a];śląskie;77.73;140669
Czerwionka-Leszczyny;rybnicki;śląskie;37.63;28348
Rybnik;Rybnik[a];śląskie;148.36;140052
Siemianowice Śląskie;Siemianowice Śląskie[a];śląskie;25.5;68634
Sosnowiec;Sosnowiec[a];śląskie;91.06;209274
Świętochłowice;Świętochłowice[a];śląskie;13.31;51494
Kalety;tarnogórski;śląskie;76.29;8626
Miasteczko Śląskie;tarnogórski;śląskie;67.83;7383
Radzionków;tarnogórski;śląskie;13.2;17050
Tarnowskie Góry;tarnogórski;śląskie;83.72;60879
Tychy;Tychy[a];śląskie;81.81;128621
Pszów;wodzisławski;śląskie;20.44;14293
Radlin;wodzisławski;śląskie;12.53;18028
Rydułtowy;wodzisławski;śląskie;14.95;21763
Wodzisław Śląski;wodzisławski;śląskie;49.51;48864
Zabrze;Zabrze[a];śląskie;80.4;177188
Łazy;zawierciański;śląskie;8.6;6972
Ogrodzieniec;zawierciański;śląskie;28.56;4349
Pilica;zawierciański;śląskie;8.22;1937
Poręba;zawierciański;śląskie;39.99;8749
Szczekociny;zawierciański;śląskie;18.03;3726
Zawiercie;zawierciański;śląskie;85.25;50990
Żory;Żory[a];śląskie;64.64;62051
Żywiec;żywiecki;śląskie;50.54;31942
Busko-Zdrój;buski;świętokrzyskie;12.28;16710
Stopnica;buski;świętokrzyskie;4.55;1462
Jędrzejów;jędrzejowski;świętokrzyskie;11.37;15698
Małogoszcz;jędrzejowski;świętokrzyskie;9.68;3872
Sędziszów;jędrzejowski;świętokrzyskie;7.92;6654
Kazimierza Wielka;kazimierski;świętokrzyskie;5.33;5725
Skalbmierz;kazimierski;świętokrzyskie;7.13;1313
Kielce;Kielce[a];świętokrzyskie;109.65;198857
Bodzentyn;kielecki;świętokrzyskie;8.65;2255
Chęciny;kielecki;świętokrzyskie;14.13;4433
Chmielnik;kielecki;świętokrzyskie;7.8;3877
Daleszyce;kielecki;świętokrzyskie;15.5;2915
Końskie;konecki;świętokrzyskie;17.7;20059
Stąporków;konecki;świętokrzyskie;10.94;5947
Opatów;opatowski;świętokrzyskie;9.36;6657
Ożarów;opatowski;świętokrzyskie;7.79;4682
Ćmielów;ostrowiecki;świętokrzyskie;13.34;3116
Kunów;ostrowiecki;świętokrzyskie;7.26;3060
Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie;46.43;71728
Działoszyce;pińczowski;świętokrzyskie;1.92;964
Pińczów;pińczowski;świętokrzyskie;14.33;11179
Koprzywnica;sandomierski;świętokrzyskie;17.9;2539
Sandomierz;sandomierski;świętokrzyskie;28.69;24326
Zawichost;sandomierski;świętokrzyskie;20.29;1863
Skarżysko-Kamienna;skarżyski;świętokrzyskie;64.39;47212
Suchedniów;skarżyski;świętokrzyskie;59.4;8667
Starachowice;starachowicki;świętokrzyskie;31.82;50679
Wąchock;starachowicki;świętokrzyskie;16.02;2848
Osiek;staszowski;świętokrzyskie;17.43;2013
Połaniec;staszowski;świętokrzyskie;17.41;8279
Staszów;staszowski;świętokrzyskie;26.88;15298
Włoszczowa;włoszczowski;świętokrzyskie;30.3;10417
Bartoszyce;bartoszycki;warmińsko-mazurskie;11.79;24432
Bisztynek;bartoszycki;warmińsko-mazurskie;2.16;2477
Górowo Iławeckie;bartoszycki;warmińsko-mazurskie;3.32;4198
Sępopol;bartoszycki;warmińsko-mazurskie;4.63;2013
Braniewo;braniewski;warmińsko-mazurskie;12.41;17281
Frombork;braniewski;warmińsko-mazurskie;7.59;2437
Pieniężno;braniewski;warmińsko-mazurskie;3.81;2909
Działdowo;działdowski;warmińsko-mazurskie;11.47;21489
Lidzbark;działdowski;warmińsko-mazurskie;5.68;8092
Elbląg;Elbląg[a];warmińsko-mazurskie;79.82;122368
Młynary;elbląski;warmińsko-mazurskie;2.76;1817
Pasłęk;elbląski;warmińsko-mazurskie;10.63;12406
Tolkmicko;elbląski;warmińsko-mazurskie;2.29;2794
Ełk;ełcki;warmińsko-mazurskie;21.05;60103
Giżycko;giżycki;warmińsko-mazurskie;13.72;29932
Ryn;giżycki;warmińsko-mazurskie;4.14;2910
Gołdap;gołdapski;warmińsko-mazurskie;17.2;13748
Iława;iławski;warmińsko-mazurskie;21.88;33344
Kisielice;iławski;warmińsko-mazurskie;3.37;2131
Lubawa;iławski;warmińsko-mazurskie;16.84;10098
Susz;iławski;warmińsko-mazurskie;6.67;5694
Zalewo;iławski;warmińsko-mazurskie;8.22;2185
Kętrzyn;kętrzyński;warmińsko-mazurskie;10.35;27924
Korsze;kętrzyński;warmińsko-mazurskie;4.03;4514
Reszel;kętrzyński;warmińsko-mazurskie;3.82;4753
Lidzbark Warmiński;lidzbarski;warmińsko-mazurskie;14.35;16332
Orneta;lidzbarski;warmińsko-mazurskie;9.63;9057
Mikołajki;mrągowski;warmińsko-mazurskie;9.32;3849
Mrągowo;mrągowski;warmińsko-mazurskie;14.81;22135
Nidzica;nidzicki;warmińsko-mazurskie;6.86;14258
Nowe Miasto Lubawskie;nowomiejski;warmińsko-mazurskie;11.37;11180
Olecko;olecki;warmińsko-mazurskie;11.54;16458
Olsztyn;Olsztyn[a];warmińsko-mazurskie;88.33;173831
Barczewo;olsztyński;warmińsko-mazurskie;4.58;7280
Biskupiec;olsztyński;warmińsko-mazurskie;5;10600
Dobre Miasto;olsztyński;warmińsko-mazurskie;4.86;10497
Jeziorany;olsztyński;warmińsko-mazurskie;3.41;3319
Olsztynek;olsztyński;warmińsko-mazurskie;7.69;7738
Miłakowo;ostródzki;warmińsko-mazurskie;8.76;2632
Miłomłyn;ostródzki;warmińsko-mazurskie;12.38;2444
Morąg;ostródzki;warmińsko-mazurskie;6.11;14269
Ostróda;ostródzki;warmińsko-mazurskie;14.15;33790
Biała Piska;piski;warmińsko-mazurskie;3.24;4124
Orzysz;piski;warmińsko-mazurskie;8.17;5799
Pisz;piski;warmińsko-mazurskie;10.08;19562
Ruciane-Nida;piski;warmińsko-mazurskie;17.07;4674
Pasym;szczycieński;warmińsko-mazurskie;15.18;2542
Szczytno;szczycieński;warmińsko-mazurskie;10.62;24185
Węgorzewo;węgorzewski;warmińsko-mazurskie;10.88;11661
Chodzież;chodzieski;wielkopolskie;12.77;19299
Margonin;chodzieski;wielkopolskie;5.15;3027
Szamocin;chodzieski;wielkopolskie;4.67;4337
Czarnków;czarnkowsko-trzcianecki;wielkopolskie;10.04;11139
Krzyż Wielkopolski;czarnkowsko-trzcianecki;wielkopolskie;5.81;6171
Trzcianka;czarnkowsko-trzcianecki;wielkopolskie;18.3;17323
Wieleń;czarnkowsko-trzcianecki;wielkopolskie;4.33;5995
Czerniejewo;gnieźnieński;wielkopolskie;10.19;2637
Gniezno;gnieźnieński;wielkopolskie;40.6;69686
Kłecko;gnieźnieński;wielkopolskie;9.62;2681
Trzemeszno;gnieźnieński;wielkopolskie;5.46;7848
Witkowo;gnieźnieński;wielkopolskie;8.31;7974
Borek Wielkopolski;gostyński;wielkopolskie;6.29;2538
Gostyń;gostyński;wielkopolskie;11.09;20237
Krobia;gostyński;wielkopolskie;7.05;4236
Pogorzela;gostyński;wielkopolskie;4.36;2063
Poniec;gostyński;wielkopolskie;3.48;2873
Grodzisk Wielkopolski;grodziski;wielkopolskie;18.21;14392
Rakoniewice;grodziski;wielkopolskie;3.37;3529
Wielichowo;grodziski;wielkopolskie;1.24;1757
Jarocin;jarociński;wielkopolskie;15.13;26394
Żerków;jarociński;wielkopolskie;2.16;2149
Stawiszyn;kaliski;wielkopolskie;0.99;1542
Kalisz;Kalisz[a];wielkopolskie;69.42;103373
Kępno;kępiński;wielkopolskie;7.79;14559
Dąbie;kolski;wielkopolskie;8.8;2061
Kłodawa;kolski;wielkopolskie;4.31;6635
Koło;kolski;wielkopolskie;13.85;22834
Przedecz;kolski;wielkopolskie;2.98;1753
Konin;Konin[a];wielkopolskie;82.2;76547
Golina;koniński;wielkopolskie;3.52;4498
Kleczew;koniński;wielkopolskie;7.8;4230
Rychwał;koniński;wielkopolskie;9.7;2385
Sompolno;koniński;wielkopolskie;6.21;3612
Ślesin;koniński;wielkopolskie;7.18;3151
Czempiń;kościański;wielkopolskie;3.32;5278
Kościan;kościański;wielkopolskie;8.79;23949
Krzywiń;kościański;wielkopolskie;2.27;1635
Śmigiel;kościański;wielkopolskie;5.3;5631
Kobylin;krotoszyński;wielkopolskie;4.87;3263
Koźmin Wielkopolski;krotoszyński;wielkopolskie;5.89;6701
Krotoszyn;krotoszyński;wielkopolskie;22.54;29284
Sulmierzyce;krotoszyński;wielkopolskie;29.29;2905
Zduny;krotoszyński;wielkopolskie;6.2;4579
Osieczna;leszczyński;wielkopolskie;4.76;2265
Rydzyna;leszczyński;wielkopolskie;2.2;2790
Leszno;Leszno[a];wielkopolskie;31.86;64616
Międzychód;międzychodzki;wielkopolskie;6.98;10723
Sieraków;międzychodzki;wielkopolskie;14.08;6089
Lwówek;nowotomyski;wielkopolskie;3.16;3042
Nowy Tomyśl;nowotomyski;wielkopolskie;5.2;14974
Opalenica;nowotomyski;wielkopolskie;6.42;9621
Zbąszyń;nowotomyski;wielkopolskie;5.42;7235
Oborniki;obornicki;wielkopolskie;14.08;18426
Rogoźno;obornicki;wielkopolskie;11.24;11229
Nowe Skalmierzyce;ostrowski;wielkopolskie;1.58;4871
Odolanów;ostrowski;wielkopolskie;4.76;5134
Ostrów Wielkopolski;ostrowski;wielkopolskie;41.9;72754
Raszków;ostrowski;wielkopolskie;2.05;2080
Grabów nad Prosną;ostrzeszowski;wielkopolskie;2.58;1969
Mikstat;ostrzeszowski;wielkopolskie;2.52;1884
Ostrzeszów;ostrzeszowski;wielkopolskie;12.13;14511
Łobżenica;pilski;wielkopolskie;3.25;2997
Piła;pilski;wielkopolskie;102.68;74333
Ujście;pilski;wielkopolskie;5.78;3802
Wyrzysk;pilski;wielkopolskie;4.12;5179
Wysoka;pilski;wielkopolskie;4.82;2707
Chocz;pleszewski;wielkopolskie;6.88;1808
Dobrzyca;pleszewski;wielkopolskie;19.7;3167
Pleszew;pleszewski;wielkopolskie;13.38;17717
Poznań;Poznań[a];wielkopolskie;261.91;545680
Buk;poznański;wielkopolskie;2.96;6188
Kostrzyn;poznański;wielkopolskie;7.98;9542
Kórnik;poznański;wielkopolskie;5.99;7684
Luboń;poznański;wielkopolskie;13.51;30813
Mosina;poznański;wielkopolskie;13.5;13220
Murowana Goślina;poznański;wielkopolskie;8.62;10508
Pobiedziska;poznański;wielkopolskie;10.24;9091
Puszczykowo;poznański;wielkopolskie;16.39;9802
Stęszew;poznański;wielkopolskie;5.69;5903
Swarzędz;poznański;wielkopolskie;8.23;31035
Bojanowo;rawicki;wielkopolskie;2.34;2975
Jutrosin;rawicki;wielkopolskie;1.62;1928
Miejska Górka;rawicki;wielkopolskie;3.14;3253
Rawicz;rawicki;wielkopolskie;7.74;20779
Słupca;słupecki;wielkopolskie;10.3;14016
Zagórów;słupecki;wielkopolskie;3.44;3076
Obrzycko;szamotulski;wielkopolskie;3.74;2393
Ostroróg;szamotulski;wielkopolskie;1.25;1989
Pniewy;szamotulski;wielkopolskie;9.32;7982
Szamotuły;szamotulski;wielkopolskie;11.08;18831
Wronki;szamotulski;wielkopolskie;5.81;11473
Środa Wielkopolska;średzki;wielkopolskie;17.98;22661
Dolsk;śremski;wielkopolskie;6.2;1575
Książ Wielkopolski;śremski;wielkopolskie;1.96;2776
Śrem;śremski;wielkopolskie;12.37;30036
Dobra;turecki;wielkopolskie;1.84;1427
Tuliszków;turecki;wielkopolskie;7;3379
Turek;turecki;wielkopolskie;16.17;27926
Gołańcz;wągrowiecki;wielkopolskie;12.64;3397
Skoki;wągrowiecki;wielkopolskie;11.2;4175
Wągrowiec;wągrowiecki;wielkopolskie;17.83;25266
Wolsztyn;wolsztyński;wielkopolskie;4.78;13552
Miłosław;wrzesiński;wielkopolskie;4.07;3589
Nekla;wrzesiński;wielkopolskie;19.79;3655
Pyzdry;wrzesiński;wielkopolskie;12.16;3220
Września;wrzesiński;wielkopolskie;12.73;29735
Jastrowie;złotowski;wielkopolskie;72.3;8703
Krajenka;złotowski;wielkopolskie;3.76;3797
Okonek;złotowski;wielkopolskie;6.01;3979
Złotów;złotowski;wielkopolskie;11.58;18492
Białogard;białogardzki;zachodniopomorskie;25.73;24571
Karlino;białogardzki;zachodniopomorskie;9.4;5989
Tychowo;białogardzki;zachodniopomorskie;3.96;2555
Choszczno;choszczeński;zachodniopomorskie;9.58;15575
Drawno;choszczeński;zachodniopomorskie;5.03;2340
Pełczyce;choszczeński;zachodniopomorskie;13.07;2635
Recz;choszczeński;zachodniopomorskie;12.4;2955
Czaplinek;drawski;zachodniopomorskie;13.62;7201
Drawsko Pomorskie;drawski;zachodniopomorskie;22.33;11828
Kalisz Pomorski;drawski;zachodniopomorskie;11.96;4356
Złocieniec;drawski;zachodniopomorskie;32.28;13190
Goleniów;goleniowski;zachodniopomorskie;11.78;22747
Maszewo;goleniowski;zachodniopomorskie;5.54;3374
Nowogard;goleniowski;zachodniopomorskie;12.44;16821
Stepnica;goleniowski;zachodniopomorskie;3.4;2446
Gryfice;gryficki;zachodniopomorskie;12.4;16853
Płoty;gryficki;zachodniopomorskie;4.12;4048
Trzebiatów;gryficki;zachodniopomorskie;10.25;10153
Cedynia;gryfiński;zachodniopomorskie;1.67;1631
Chojna;gryfiński;zachodniopomorskie;12.58;7382
Gryfino;gryfiński;zachodniopomorskie;9.58;21565
Mieszkowice;gryfiński;zachodniopomorskie;4.73;3594
Moryń;gryfiński;zachodniopomorskie;5.54;1608
Trzcińsko-Zdrój;gryfiński;zachodniopomorskie;2.33;2418
Dziwnów;kamieński;zachodniopomorskie;4.97;2724
Golczewo;kamieński;zachodniopomorskie;7.42;2725
Kamień Pomorski;kamieński;zachodniopomorskie;10.74;9020
Międzyzdroje;kamieński;zachodniopomorskie;4.5;5475
Wolin;kamieński;zachodniopomorskie;14.47;4919
Gościno;kołobrzeski;zachodniopomorskie;5.7;2424
Kołobrzeg;kołobrzeski;zachodniopomorskie;25.67;46720
Koszalin;Koszalin[a];zachodniopomorskie;98.34;108605
Bobolice;koszaliński;zachodniopomorskie;4.77;4204
Polanów;koszaliński;zachodniopomorskie;7.37;3005
Sianów;koszaliński;zachodniopomorskie;15.88;6676
Dobra;łobeski;zachodniopomorskie;2.37;2338
Łobez;łobeski;zachodniopomorskie;12.84;10409
Resko;łobeski;zachodniopomorskie;4.49;4325
Węgorzyno;łobeski;zachodniopomorskie;6.85;2902
Barlinek;myśliborski;zachodniopomorskie;17.55;14180
Dębno;myśliborski;zachodniopomorskie;19.51;14039
Myślibórz;myśliborski;zachodniopomorskie;15.04;11512
Nowe Warpno;policki;zachodniopomorskie;24.51;1226
Police;policki;zachodniopomorskie;37.31;33404
Lipiany;pyrzycki;zachodniopomorskie;5.54;4045
Pyrzyce;pyrzycki;zachodniopomorskie;38.79;12769
Darłowo;sławieński;zachodniopomorskie;20.21;14059
Sławno;sławieński;zachodniopomorskie;15.83;12825
Chociwel;stargardzki;zachodniopomorskie;3.67;3237
Dobrzany;stargardzki;zachodniopomorskie;5.34;2352
Ińsko;stargardzki;zachodniopomorskie;7.48;2031
Stargard;stargardzki;zachodniopomorskie;48.08;68922
Suchań;stargardzki;zachodniopomorskie;3.57;1459
Szczecin;Szczecin[a];zachodniopomorskie;300.55;407180
Barwice;szczecinecki;zachodniopomorskie;7.52;3800
Biały Bór;szczecinecki;zachodniopomorskie;12.82;2210
Borne Sulinowo;szczecinecki;zachodniopomorskie;18.15;4903
Szczecinek;szczecinecki;zachodniopomorskie;48.48;40535
Połczyn-Zdrój;świdwiński;zachodniopomorskie;7.21;8418
Świdwin;świdwiński;zachodniopomorskie;22.38;15588
Świnoujście;Świnoujście[a];zachodniopomorskie;197.23;41276
Człopa;wałecki;zachodniopomorskie;6.27;2345
Mirosławiec;wałecki;zachodniopomorskie;2.17;3040
Tuczno;wałecki;zachodniopomorskie;9.21;1956
Wałcz;wałecki;zachodniopomorskie;38.17;26033
